platform,store_id,super_store_id,brand_name,store_name,store_address,is_open_today,delivery_price,eta_value_min,percentage_service_fee,corridor_id,corridor_name,corridor_index,product_id,product_name,product_description,product_price,product_real_price,discount_percentage,is_available,is_popular,has_toppings,product_image,store_query,address_text,product_name_normalized,product_group,final_total_est
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762368,McCombo mediano Triple Hamburguesa con Queso,"Elige tu McCombo de hamburguesa con tres carnes 100% de res de 50gr c/u, doble queso cheddar, cebolla 100% colombiana, pepinillos, salsa de tomate y mostaza con papas medianas y gaseosa mediana a elegir.",29900.0,29900.0,0.0,False,False,True,e27e2304-d463-4599-97d9-4191a55bf467.png,McDonald's,"Chapinero Alto, Bogotá",mccombo mediano triple hamburguesa con queso,combo_hamburguesa,29900.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762339,McCombo mediano McNífica,"Elige tu McCombo de hamburguesa con carne 100% de res de 125 gr, cebolla, tomate y lechuga 100% colombianos, queso blanco, salsa de tomate, mayonesa y mostaza con papas medianas y gaseosa mediana a elegir.",32500.0,32500.0,0.0,False,False,True,26e902b6-2655-4f99-82fb-6f3fdd99fed1.png,McDonald's,"Chapinero Alto, Bogotá",mccombo mediano mcnífica,combo_hamburguesa,32500.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762305,McCombo Mediano Super Cheddar Lover,"LLeva una(1) hamburguesa super Cheddar Lover , unas(1) papas medianas , y una(1) gaseosa mediana(16oz) a eleccion",47500.0,47500.0,0.0,False,False,True,3f29489b-cb17-44a4-969f-bdbadacc29ef.png,McDonald's,"Chapinero Alto, Bogotá",mccombo mediano super cheddar lover,combo_hamburguesa,47500.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762498,McCombo mediano McPollo,"Elige tu McCombo de hamburguesa con pattie 100% pechuga de pollo, mayonesa y lechuga 100% colombiana, papas medianas y gaseosa mediana a elegir.",28500.0,28500.0,0.0,False,False,True,e8b8f990-d163-49fb-bbbd-749c1e4e960b.png,McDonald's,"Chapinero Alto, Bogotá",mccombo mediano mcpollo,combo_hamburguesa,28500.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762320,McCombo mediano Chicken McNuggets 10 pzas,"Elige tu McCombo de 10 piezas de pollo apanado 100% pechuga, acompañados de papas medianas y gaseosa mediana a elegir.",33500.0,33500.0,0.0,False,False,True,5833086c-9753-4df7-a412-e64ec5e90d65.png,McDonald's,"Chapinero Alto, Bogotá",mccombo mediano chicken mcnuggets 10 pzas,combo_hamburguesa,33500.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762519,McCombo mediano Chicken McNuggets de 20 pzas,"Elige tu McCombo de 20 piezas de pollo apanado 100% pechuga, acompañados de papas medianas y gaseosa mediana a elegir.",58500.0,58500.0,0.0,False,False,True,0838d145-9e92-4853-b0a2-1d9736b10ab2.png,McDonald's,"Chapinero Alto, Bogotá",mccombo mediano chicken mcnuggets de 20 pzas,combo_hamburguesa,58500.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762212,McCombo Mediano Pollo McCrispy Tocineta Dulce,"Elige tu McCombo mediano de hamburguesa con un filete de pechuga de pollo de 125gr, salsa tocineta dulce, cebolla fresca, tocineta, pepinillos queso cheddar y mayonesa, acompañado de papas medianas y gaseosa mediana a elegir.",39500.0,39500.0,0.0,False,False,True,71dab1c4-144f-4fe0-9cdd-c0fed5872f45.png,McDonald's,"Chapinero Alto, Bogotá",mccombo mediano pollo mccrispy tocineta dulce,combo_hamburguesa,39500.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762409,McCombo mediano Pollo McCrispy Bacon Ranch,"Elige tu McCombo de hamburguesa con un filete 100% de pechuga de pollo de 125gr, salsa Ranch, tocineta, lechuga y tomate 100% colombianos, papas medianas y gaseosa mediana a elegir.",36500.0,36500.0,0.0,False,False,True,1ef10726-8356-4ed4-989b-b101d3d1b872.png,McDonald's,"Chapinero Alto, Bogotá",mccombo mediano pollo mccrispy bacon ranch,combo_hamburguesa,36500.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762263,McCombo grande Big Mac,"Elige tu McCombo con hamburguesa con dos carnes 100% de res de 50gr c/u, cebolla y lechuga 100 % colombianas, pepinillos, queso cheddar, pan en el centro y nuestra salsa especial Big Mac con papas grandes y gaseosa grande a elegir.",34500.0,34500.0,0.0,False,False,True,2d0c17a0-ce61-4371-adeb-e63d1834d37d.png,McDonald's,"Chapinero Alto, Bogotá",mccombo grande big mac,hamburguesa_firma,34500.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762392,McCombo Grande Big Mac Bacon,"Elige tu McCombo de Hamburguesa con dos carnes 100% de res de 50gr c/u, tocineta cebolla, pepinillos, lechuga, queso cheddar, pan en el centro y nuesta salsa especial Big Mac con papas grandes y gaseosa grande a eleccion..",38500.0,38500.0,0.0,False,False,True,ce285c9f-b73d-4762-92eb-12f971f10dbc.png,McDonald's,"Chapinero Alto, Bogotá",mccombo grande big mac bacon,hamburguesa_firma,38500.0
